,parentId,authorDisplayName,replyComment,publishedAt,likeCount
115,UgzQ6BsrBMVFEBuJgLR4AaABAg,마시멜로,@안유진 그리고 게임 돌리실거면 외장그래픽을 따로 구매하시거나 아니면 몬스타 기어같은 게이밍 노트북을 사면 됩니다~2020  그램 i7도 왠만한 게임들은 다 돌아갑니다,2020-01-17T03:30:52.000Z,0
116,UgzQ6BsrBMVFEBuJgLR4AaABAg,마시멜로,@안유진 롤은 돌아갑니다.,2020-01-17T03:29:52.000Z,0
117,UgzQ6BsrBMVFEBuJgLR4AaABAg,안유진,롤도 안 돌아간다는 소리가 있던데..쓰로틀링인가??.. 그러면 i7살 필요가 있을까 싶기도 한. 그래서 이번엔 이온이 더 좋은듯. 가격도 그램보다 조금 더 저렴하고. 쿨러도 두 개고.,2020-01-16T16:57:25.000Z,0
118,UgzQ6BsrBMVFEBuJgLR4AaABAg,마시멜로,@떡볶이 산지 얼마 안되서 시험해보겠습니다!,2020-01-16T14:20:45.000Z,0
119,UgzQ6BsrBMVFEBuJgLR4AaABAg,마시멜로,@ITSub잇섭 그렇습니다 ㅎㅎ 진짜 가볍고 성능도 좋더라구요~!,2020-01-16T14:20:05.000Z,1
120,UgyEuBLBYxd_OZJATix4AaABAg,be폭력주의자간디,유튭볼 시간에 공부해,2020-01-17T00:45:15.000Z,2
121,UgyEuBLBYxd_OZJATix4AaABAg,Apple,박세니  힘내세요 ㅠㅠ,2020-01-16T14:51:23.000Z,0
122,UgxHyawURpXj0QdCMT94AaABAg,ITSub잇섭,그거해도 거기서 거기더라구요... ㅠㅠ,2020-01-16T13:19:34.000Z,0
123,UgwJArqilPBdABnIp994AaABAg,moonsu park,@쉐이크 펜소음 좀 많이 시끄럽긴 합니다. 그래도 롤 40~50프레임보다는 훨씬 나으니까요,2020-01-17T06:14:09.000Z,0
124,UgwJArqilPBdABnIp994AaABAg,쉐이크,팬소음 좀 있지 않던가요? 외장그래픽 쓰는순간 팬 오지게 돌던데..,2020-01-17T05:59:08.000Z,0
125,Ugz_ibMPSQ5e33e-mtF4AaABAg,seulchan park,@ITSub잇섭 그램이랑 비교할거면 플렉스랑 비교하셔야죠,2020-01-16T13:55:35.000Z,0
126,Ugz_ibMPSQ5e33e-mtF4AaABAg,ITSub잇섭,"AKG 튜닝이라해서 비교는 해보고싶은데, 갖고있는게 마땅치 않아서 비교해봤는데...
그램사면 그램이랑 제대로 비교해볼게요 ㅎㅎ",2020-01-16T13:20:05.000Z,0
127,Ugz_ibMPSQ5e33e-mtF4AaABAg,Jaeseok SEO,ㅋㅋㅋㅋㅋㅋㅋㅋ계속 그램이랑 비교하다가 갑자기...,2020-01-16T12:58:43.000Z,0
128,Ugz_ibMPSQ5e33e-mtF4AaABAg,시발,ㅋㅋㅋㅋㅋㅋㅋ,2020-01-16T12:55:55.000Z,0
129,UgxipU1x8EY6TO0AG-54AaABAg,우사틴,진짜 LG 그램 2020에 비하면 별로다...더 성장하렴~,2020-01-16T12:57:13.000Z,0
130,UgxZPlFB23id1E8D2_F4AaABAg,アイスクリームケーキ,갤럭시폰이라면...버즈를추천해요!,2020-01-16T13:02:44.000Z,0
131,UgxZPlFB23id1E8D2_F4AaABAg,Park- J,대답감사합니다!^^,2020-01-16T13:01:05.000Z,0
132,UgxZPlFB23id1E8D2_F4AaABAg,유튜브팜므,호환성은 버즈,2020-01-16T12:58:48.000Z,0
133,UgxZPlFB23id1E8D2_F4AaABAg,유튜브팜므,에어팟 프로가 좋아요,2020-01-16T12:58:41.000Z,0
134,Ugx2mR49_v7VbIgmuLh4AaABAg,서이나,그런데 이상한 점이 배터리 옆에 뜨는 남은 시간이라는게 오락가락해요. 같은 문서 작업 중인데도 1퍼에 1시간이 훅 사라지는 가 하면 또 작업 중 1퍼 소모되었을 때 1시간이 생기기도 하고... 어제 5시간 워드 작업 하면서 이상해서 스크린 샷 떠 놨는데 원래 삼성 제품은 이런가요? LG에서 넘어온 거라 잘 모르겠네요,2020-01-17T03:48:52.000Z,0
135,Ugx2mR49_v7VbIgmuLh4AaABAg,서이나,"정정할게요. 유튜브 1시간 돌렸더니 80퍼 대에 남은 시간 8시간이라 해서 매우 사기 당한 느낌이었는데 문서 작업이나 웹 서핑 등 하면 잘 안죽어요, 오래 갑니다",2020-01-17T03:45:36.000Z,0
