197,둠피스트,저게 4달라랑 같이 나오면ㅋㅋㅋㅋㅋ
198,LutherVandRoss,진짜 우끼다 ㅋㅋ
199,토이조아TOYJOAH,아이언드래곤형님!! 형님 믿고 오늘 더블로갔습니다!!
200,김민주,버거킹 오늘은 이게 내 결론이다ㅋㅋㅋㅋㅋㅋ 아 배고파졌다 버거킹매직..
201,예진,아 ㅋㅋㅋㅋㅋㅋㅋ
202,보마,ㅋㅋㅋㅋ
203,호랑이,ㅋㅋㅋ
204,[리니지M]BJ지노,ㅋㅋㅋㅋㅋㅋㅋ이형 보러 이 광고를 누르게되다니
205,hayescarmen,버거킹 다음 광고는 양준일 추천
206,김진성,ㅎㅎ 축하해요 버거킹 먹어야겠다~
207,buzzRock,유튜브 들어와서 광고를 찾아본건 처음이네욬ㅋ
208,모두하이,진짜 올해 전반기는 김두한 / 후반기는 곽철용이다...대박!
209,픞카,와 이게 진짜 나왓넼ㅋㅋㅋ
210,김지희,ㅋㅋㅋㅋ이거 언젠간 나올거라고 예상하고 있었어요 ㅋㅋㅋㅋㅋ
211,조용준,광고 잼있네ㅋㅋㅋㅋ살다살다 광고가 궁금해서 들어오긴 또 첨이네ㅎㅎ
212,이뭐뭐,와 근데 진짜 위엄있으시네..ㄷㄷ
213,hhH,이게나오다니 ㅋㅋㅋ
214,양양,버거킹ㅋㅋ 물들어올때 노젓넼ㅋㅋㅋ
215,kyeongyoonkim,궁예 뒤태 무엇 ㅋㅋㅋ
216,kmduck,ㅋㅋㅋㅋㅋㅋㅋ 강제 제 2의전성기 시작
217,오순영,광고넘잘알 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅇ안사먹으면 변사체.. 버거킹앞으로 ^^7
218,옆집돌맹이에붙어사는뚱이,드디어 나왔네 ㅋㅋㅋㅋㅋㅋ
219,블루BLUE_뉴수원,5252 버거킹! 믿고있었다구!
220,askedm,이런 미친ㅋㅋㅋㅋㅋ 이게 나오네
221,당황한기철이,광고 시나리오 적더니 드디어 광고가 나왔네ㅋㅋㅋ
222,신지훈,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
223,MiAn,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
224,Woo-junPark,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
225,박영균,미친ㅋㅋㅋㅋ이거 언제부터 하나요??
226,김영찬,마지막 뒤에 김두한있네 ㅋㅋㅋㅋㅋㅋ
227,아몰랑,사먹겠숩니다 변사체가되기 싫어요ㅋㅋㅋ
228,케이비,0:07 더블패티 더블 올데이킹입니다 ㅋㅋㅋㅋ 이여자 뭐야 졸귀탱이자어
229,김우민,곽철용 광고 언제 나오나 궁금했었는데 ㅋㅋ
230,ShotHoly,떠블로 가! ㅋㅋㅋㅋㅋㅋㅋㅋ
231,우우,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
232,17171771,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
233,트리비,ㅋㅋㅋㅋㅋ 오늘 점심은 버거킹이다ㅋㅋㅋ
234,nightSummer,나 믿고 더블로 가 ㅋㅋㅋㅋㅋㅋㅋㅋ
235,아무리생강케도너마늘,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
236,황준영,대사 잘 버무려놧네 ㅋㅋㅋㅋ
237,뀨뀨,ㅋㅋㅋ 캬 이목소리지
238,라디오씨,0:10???:특별한 소스 양상추 치즈피클 양파까지
239,펭-하,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ사딸라에 이어 이젠 곽철용ㅋㅋㅋㅋㅋ
240,牛肉,버거킹 유행에 빠르네 ㅋㅋㅋ
241,박정훈,젊은친구 나믿고 더블로 가아 욱껴ㅋㅋㅋㅋㅋ
242,icandoityct,아 이거 보려고 광고를 찾아서 보네ㅋㅋㅋㅋ
243,모노가타리,묻고 소리  질러어~~
244,탁이,ㅋㅋㅋ 광고 다시보기 한적은 처음이닼ㅋㅋㅋㅋㅋ
245,김태윤,???: 회장님 계산줄이 너무 밀립니다???: 옆 카운터는 장사안하냐 ㅅ끼야?
246,ᄉᄇ니타,드디어 곽철용 광고 찍네ㅋㅋㅋㅋㅋ
247,윤민호,광고까지 찾아와서 댓글달긴 첨이네요 ㅋㅋㅋ철용좌 날아오르라~~~
248,호다카피닉스,곽철용은 타짜에서 나오는 이름이고 진짜 이름은 “김응수”님 입니다
249,박희영,zzzzzzzzzzzzzzzzzzzzzzㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ잘못본줄알았넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
250,박준영,ㅋㅋㅋㅋㅋ 나같은 사람이 여럿이네 ㅋㅋㅋ 내가 광고를 눌러서 볼줄이야 ㅋㅋ
251,damc,ㅋㅋㅋ이제서야 발휘대나?
252,김은주,2차는 버거킹??
253,좌지우지,ㅋㅋㅋㅋ
254,UNGGUM3S,ㅋㅋㅋㅋ
255,병신만보면짖는개,ㅋㅋㅋㅋㅋㅋ
256,정세민,ㅋㅋㅋㅋㅋㅋㅋ
257,허니,ㅋㅋㅋㅋㅋㅋㅋ
258,부렉빙,ㅋㅋㅋㅋㅋㅋㅋ
259,조보아,ㅋㅋㅋ
